Transaction,Entry,Exit,Revenue,Gross Revenue,Rate,Type
100001,2019-01-01T00:30:00,2019-01-02T00:30:00,20,22,Weekday,Reserved
100002,2019-01-01T00:30:00,2019-01-01T08:30:00,13,15,Weekday,Reserved
100003,2019-01-01T01:30:00,2019-01-02T01:30:00,20,22,Weekday,Reserved
100004,2019-01-01T07:00:00,2019-01-01T16:02:21,20,36,Underground Rate,Walk In
100005,2019-01-01T10:00:00,2019-01-01T18:00:00,13,15,Weekday,Reserved
100006,2019-01-01T10:00:00,2019-01-01T18:00:00,14,16,Weekday,Reserved
100007,2019-01-01T10:00:00,2019-01-01T13:00:00,10,12,Weekday,Reserved
100008,2019-01-01T10:00:00,2019-01-01T13:00:00,10,12,Weekday,Reserved
100009,2019-01-01T10:30:00,2019-01-01T18:30:00,13,15,Weekday,Reserved
100010,2019-01-01T11:00:00,2019-01-01T19:00:00,13,15,Weekday,Reserved
100011,2019-01-01T11:00:00,2019-01-01T14:00:00,10,12,Weekday,Reserved
100012,2019-01-01T11:00:00,2019-01-02T11:00:00,20,22,Weekday,Reserved
100013,2019-01-01T11:00:00,2019-01-02T11:00:00,20,22,Weekday,Reserved
100014,2019-01-01T11:00:00,2019-01-01T19:00:00,14,16,Weekday,Reserved
100015,2019-01-01T11:00:00,2019-01-01T19:00:00,14,16,Weekday,Reserved
100016,2019-01-01T11:00:00,2019-01-02T11:00:00,20,22,Weekday,Reserved
100017,2019-01-01T11:30:00,2019-01-01T19:30:00,14,16,Weekday,Reserved
100018,2019-01-01T11:56:00,2019-01-01T17:30:21,36,36,Daily,Walk In
100019,2019-01-01T12:00:00,2019-01-01T20:00:00,14,16,Weekday,Reserved
100020,2019-01-01T12:00:00,2019-01-01T20:00:00,14,16,Weekday,Reserved
100021,2019-01-01T12:30:00,2019-01-01T13:30:00,10,12,Weekday,Reserved
100022,2019-01-01T12:30:00,2019-01-01T15:30:00,10,12,Weekday,Reserved
100023,2019-01-01T12:30:00,2019-01-01T20:30:00,14,16,Weekday,Reserved
100024,2019-01-01T12:30:00,2019-01-01T15:30:00,10,12,Weekday,Reserved
100025,2019-01-01T12:49:00,2019-01-01T14:01:02,20,20,Daily,Walk In
100026,2019-01-01T13:00:00,2019-01-01T16:00:00,10,12,Weekday,Reserved
100027,2019-01-01T13:00:00,2019-01-01T16:00:00,10,12,Weekday,Reserved
100028,2019-01-01T13:00:00,2019-01-01T21:00:00,13,15,Weekday,Reserved
100029,2019-01-01T13:00:00,2019-01-01T16:00:00,10,12,Weekday,Reserved
100030,2019-01-01T13:00:00,2019-01-01T16:00:00,10,12,Weekday,Reserved
100031,2019-01-01T13:00:00,2019-01-01T16:00:00,10,12,Weekday,Reserved
100032,2019-01-01T13:30:00,2019-01-02T13:30:00,20,22,Weekday,Reserved
100033,2019-01-01T13:30:00,2019-01-01T18:00:00,14,16,Weekday,Reserved
100034,2019-01-01T13:30:00,2019-01-02T13:30:00,20,22,Weekday,Reserved
100035,2019-01-01T13:30:00,2019-01-01T21:30:00,14,16,Weekday,Reserved
100036,2019-01-01T14:00:00,2019-01-01T22:00:00,14,16,Weekday,Reserved
100037,2019-01-01T14:00:00,2019-01-01T17:00:00,10,10,Weekday,Reserved
100038,2019-01-01T14:11:00,2019-01-01T16:42:51,36,36,Daily,Walk In
100039,2019-01-01T14:15:00,2019-01-01T17:15:00,10,10,Weekday,Reserved
100040,2019-01-01T14:30:00,2019-01-01T17:30:00,10,12,Weekday,Reserved
100041,2019-01-01T14:30:00,2019-01-01T22:30:00,13,15,Weekday,Reserved
100042,2019-01-01T14:30:00,2019-01-01T17:30:00,10,12,Weekday,Reserved
100043,2019-01-01T15:00:00,2019-01-01T18:00:00,10,12,Weekday,Reserved
100044,2019-01-01T15:00:00,2019-01-01T18:00:00,10,12,Weekday,Reserved
100045,2019-01-01T15:00:00,2019-01-01T23:00:00,11,13,Evening,Reserved
100046,2019-01-01T15:00:00,2019-01-01T23:00:00,11,13,Evening,Reserved
100047,2019-01-01T15:30:00,2019-01-01T18:30:00,10,12,Weekday,Reserved
100048,2019-01-01T16:00:00,2019-01-02T16:00:00,20,20,Multi-Day,Reserved
100049,2019-01-01T16:00:00,2019-01-02T00:00:00,14,16,Weekday,Reserved
100050,2019-01-01T16:00:00,2019-01-01T19:00:00,10,12,Weekday,Reserved
100051,2019-01-01T16:00:00,2019-01-01T19:00:00,10,12,Weekday,Reserved
100052,2019-01-01T16:15:00,2019-01-01T19:15:00,10,10,Weekday,Reserved
100053,2019-01-01T16:30:00,2019-01-01T19:30:00,10,10,Weekday,Reserved
100054,2019-01-01T17:00:00,2019-01-02T01:00:00,11,13,Evening,Reserved
100055,2019-01-01T17:00:00,2019-01-01T20:00:00,10,12,Weekday,Reserved
100056,2019-01-01T17:00:00,2019-01-01T20:00:00,10,12,Weekday,Reserved
100057,2019-01-01T17:05:00,2019-01-01T19:15:51,0,10,Daily,Walk In
100058,2019-01-01T17:20:00,2019-01-01T20:03:51,0,10,Daily,Walk In
100059,2019-01-01T17:30:00,2019-01-02T08:00:00,14,16,Evening,Reserved
100060,2019-01-01T17:30:00,2019-01-02T01:30:00,11,13,Evening,Reserved
100061,2019-01-01T18:00:00,2019-01-02T18:00:00,20,20,Multi-Day,Reserved
100062,2019-01-01T18:23:00,2019-01-01T20:03:36,0,10,Daily,Walk In
100063,2019-01-01T18:30:00,2019-01-02T18:30:00,20,22,Weekday,Reserved
100064,2019-01-01T19:23:00,2019-01-02T07:26:56,10,10,Daily,Walk In
100065,2019-01-01T19:30:00,2019-01-01T22:30:00,10,12,Weekday,Reserved
100066,2019-01-01T22:07:00,2019-01-02T17:12:21,0,38,Daily,Walk In
100067,2019-01-02T05:30:00,2019-01-02T14:04:06,20,36,Underground Rate,Walk In
100068,2019-01-02T05:39:00,2019-01-02T10:50:56,20,36,Underground Rate,Walk In
100069,2019-01-02T06:10:00,2019-01-02T12:58:11,20,36,Underground Rate,Walk In
100070,2019-01-02T06:32:00,2019-01-02T17:48:52,21,38,Underground Rate,Walk In
100071,2019-01-02T06:46:00,2019-01-02T14:22:26,20,36,Underground Rate,Walk In
100072,2019-01-02T07:02:00,2019-01-03T07:16:12,0,50,Daily,Walk In
100073,2019-01-02T07:07:00,2019-01-05T11:17:22,0,152,Daily,Walk In
100074,2019-01-02T07:30:00,2019-01-03T07:30:00,20,22,Weekday,Reserved
100075,2019-01-02T07:55:00,2019-01-03T09:49:01,0,60,Daily,Walk In
100076,2019-01-02T08:03:00,2019-01-03T10:21:32,0,76,Daily,Walk In
100077,2019-01-02T08:19:00,2019-01-02T23:17:02,21,38,Underground Rate,Walk In
100078,2019-01-02T08:23:00,2019-01-04T16:58:46,0,114,Daily,Walk In
100079,2019-01-02T08:29:00,2019-01-02T17:37:42,0,38,Daily,Walk In
100080,2019-01-02T08:30:00,2019-01-03T08:30:00,20,22,Weekday,Reserved
100081,2019-01-02T08:37:00,2019-01-02T10:35:41,0,20,Daily,Walk In
100082,2019-01-02T08:50:00,2019-01-02T23:00:21,38,38,Daily,Walk In
100083,2019-01-02T08:51:00,2019-01-02T17:29:41,21,38,Underground Rate,Walk In
100084,2019-01-02T09:36:00,2019-01-02T09:46:32,0,12,Daily,Walk In
100085,2019-01-02T10:00:00,2019-01-02T18:00:00,13,15,Weekday,Reserved
100086,2019-01-02T10:30:00,2019-01-03T10:30:00,20,22,Weekday,Reserved
100087,2019-01-02T10:30:00,2019-01-03T10:30:00,20,22,Weekday,Reserved
100088,2019-01-02T10:30:00,2019-01-02T18:30:00,13,15,Weekday,Reserved
100089,2019-01-02T10:30:00,2019-01-02T13:30:00,10,12,Weekday,Reserved
100090,2019-01-02T10:57:00,2019-01-02T16:18:46,38,38,Daily,Walk In
100091,2019-01-02T10:57:00,2019-01-02T17:00:32,0,38,Daily,Walk In
100092,2019-01-02T11:00:00,2019-01-02T19:00:00,13,15,Weekday,Reserved
100093,2019-01-02T11:00:00,2019-01-02T19:00:00,14,16,Weekday,Reserved
100094,2019-01-02T11:00:00,2019-01-02T19:00:00,13,15,Weekday,Reserved
100095,2019-01-02T11:00:00,2019-01-02T14:00:00,10,12,Weekday,Reserved
100096,2019-01-02T11:00:00,2019-01-02T19:00:00,13,15,Weekday,Reserved
100097,2019-01-02T11:00:00,2019-01-02T12:00:00,10,12,Weekday,Reserved
100098,2019-01-02T11:00:00,2019-01-02T19:00:00,13,15,Weekday,Reserved
100099,2019-01-02T11:11:00,2019-01-02T16:30:31,0,38,Daily,Walk In
100100,2019-01-02T11:30:00,2019-01-02T19:30:00,14,16,Weekday,Reserved
100101,2019-01-02T11:30:00,2019-01-02T19:30:00,13,15,Weekday,Reserved
100102,2019-01-02T11:30:00,2019-01-02T19:30:00,13,15,Weekday,Reserved
100103,2019-01-02T11:30:00,2019-01-02T19:30:00,13,15,Weekday,Reserved
100104,2019-01-02T11:37:00,2019-01-02T14:18:02,0,36,Daily,Walk In
100105,2019-01-02T12:00:00,2019-01-02T15:00:00,10,12,Weekday,Reserved
100106,2019-01-02T12:00:00,2019-01-02T20:00:00,13,15,Weekday,Reserved
100107,2019-01-02T12:00:00,2019-01-03T12:00:00,20,22,Weekday,Reserved
100108,2019-01-02T12:00:00,2019-01-02T20:00:00,14,16,Weekday,Reserved
100109,2019-01-02T12:00:00,2019-01-02T15:00:00,10,12,Weekday,Reserved
100110,2019-01-02T12:00:00,2019-01-03T12:00:00,20,20,Multi-Day,Reserved
100111,2019-01-02T12:00:00,2019-01-02T20:00:00,14,16,Weekday,Reserved
100112,2019-01-02T12:00:00,2019-01-02T20:00:00,13,15,Weekday,Reserved
100113,2019-01-02T12:11:00,2019-01-02T14:14:06,7,36,Show Rate,Walk In
100114,2019-01-02T12:17:00,2019-01-02T13:31:16,20,20,Daily,Walk In
100115,2019-01-02T12:30:00,2019-01-02T15:30:00,10,12,Weekday,Reserved
100116,2019-01-02T12:30:00,2019-01-02T20:30:00,18,20,Weekday,Reserved
100117,2019-01-02T12:30:00,2019-01-02T20:30:00,13,15,Weekday,Reserved
100118,2019-01-02T12:30:00,2019-01-02T20:30:00,14,16,Weekday,Reserved
100119,2019-01-02T12:30:00,2019-01-02T20:30:00,18,20,Weekday,Reserved
100120,2019-01-02T12:45:00,2019-01-02T15:23:02,38,38,Daily,Walk In
100121,2019-01-02T12:54:00,2019-01-04T18:46:32,0,114,Daily,Walk In
100122,2019-01-02T13:00:00,2019-01-02T16:00:00,12,14,Weekday,Reserved
100123,2019-01-02T13:00:00,2019-01-02T21:00:00,14,16,Weekday,Reserved
100124,2019-01-02T13:00:00,2019-01-02T16:00:00,10,12,Weekday,Reserved
100125,2019-01-02T13:00:00,2019-01-02T16:00:00,10,12,Weekday,Reserved
100126,2019-01-02T13:00:00,2019-01-02T16:00:00,10,12,Weekday,Reserved
100127,2019-01-02T13:00:00,2019-01-02T16:00:00,10,12,Weekday,Reserved
100128,2019-01-02T13:00:00,2019-01-02T16:00:00,10,12,Weekday,Reserved
100129,2019-01-02T13:30:00,2019-01-02T16:30:00,10,12,Weekday,Reserved
100130,2019-01-02T13:30:00,2019-01-02T16:30:00,10,12,Weekday,Reserved
100131,2019-01-02T13:30:00,2019-01-02T16:30:00,10,12,Weekday,Reserved
100132,2019-01-02T13:30:00,2019-01-02T16:30:00,10,12,Weekday,Reserved
100133,2019-01-02T13:30:00,2019-01-02T16:30:00,10,12,Weekday,Reserved
100134,2019-01-02T13:30:00,2019-01-02T21:30:00,13,15,Weekday,Reserved
100135,2019-01-02T14:00:00,2019-01-02T17:00:00,12,14,Weekday,Reserved
100136,2019-01-02T14:00:00,2019-01-02T17:00:00,10,12,Weekday,Reserved
100137,2019-01-02T14:00:00,2019-01-02T22:00:00,14,16,Weekday,Reserved
100138,2019-01-02T14:00:00,2019-01-02T22:00:00,14,16,Weekday,Reserved
100139,2019-01-02T14:00:00,2019-01-02T22:00:00,13,15,Weekday,Reserved
100140,2019-01-02T14:30:00,2019-01-02T22:30:00,13,15,Weekday,Reserved
100141,2019-01-02T14:30:00,2019-01-02T17:30:00,10,12,Weekday,Reserved
100142,2019-01-02T14:30:00,2019-01-05T08:04:42,0,114,Daily,Walk In
100143,2019-01-02T14:30:00,2019-01-05T08:16:11,0,114,Daily,Walk In
100144,2019-01-02T14:36:00,2019-01-02T16:54:36,38,38,Daily,Walk In
100145,2019-01-02T14:37:00,2019-01-03T09:37:42,0,38,Daily,Walk In
100146,2019-01-02T15:00:00,2019-01-05T15:00:00,60,66,Daily,Reserved
